id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
335982,Bangalore,4/18/2008,BB McCullum,M Chinnaswamy Stadium,0,RCB,KKR,RCB,field,KKR,runs,140,N,NA,Asad Rauf,RE Koertzen
335983,Chandigarh,4/19/2008,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",0,KXIP,CSK,CSK,bat,CSK,runs,33,N,NA,MR Benson,SL Shastri
335984,Delhi,4/19/2008,MF Maharoof,Feroz Shah Kotla,0,DD,RR,RR,bat,DD,wickets,9,N,NA,Aleem Dar,GA Pratapkumar
335985,Mumbai,4/20/2008,MV Boucher,Wankhede Stadium,0,MI,RCB,MI,bat,RCB,wickets,5,N,NA,SJ Davis,DJ Harper
335986,Kolkata,4/20/2008,DJ Hussey,Eden Gardens,0,KKR,HDC,HDC,bat,KKR,wickets,5,N,NA,BF Bowden,K Hariharan
335987,Jaipur,4/21/2008,SR Watson,Sawai Mansingh Stadium,0,RR,KXIP,KXIP,bat,RR,wickets,6,N,NA,Aleem Dar,RB Tiffin
335988,Hyderabad,4/22/2008,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",0,HDC,DD,HDC,bat,DD,wickets,9,N,NA,IL Howell,AM Saheba
335989,Chennai,4/23/2008,ML Hayden,"MA Chidambaram Stadium, Chepauk",0,CSK,MI,MI,field,CSK,runs,6,N,NA,DJ Harper,GA Pratapkumar
335990,Hyderabad,4/24/2008,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",0,HDC,RR,RR,field,RR,wickets,3,N,NA,Asad Rauf,MR Benson
335991,Chandigarh,4/25/2008,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",0,KXIP,MI,MI,field,KXIP,runs,66,N,NA,Aleem Dar,AM Saheba
335992,Bangalore,4/26/2008,SR Watson,M Chinnaswamy Stadium,0,RCB,RR,RR,field,RR,wickets,7,N,NA,MR Benson,IL Howell
335993,Chennai,4/26/2008,JDP Oram,"MA Chidambaram Stadium, Chepauk",0,CSK,KKR,KKR,bat,CSK,wickets,9,N,NA,BF Bowden,AV Jayaprakash
335994,Mumbai,4/27/2008,AC Gilchrist,Dr DY Patil Sports Academy,0,MI,HDC,HDC,field,HDC,wickets,10,N,NA,Asad Rauf,SL Shastri
335995,Chandigarh,4/27/2008,SM Katich,"Punjab Cricket Association Stadium, Mohali",0,KXIP,DD,DD,bat,KXIP,wickets,4,N,NA,RE Koertzen,I Shivram
335996,Bangalore,4/28/2008,MS Dhoni,M Chinnaswamy Stadium,0,RCB,CSK,CSK,bat,CSK,runs,13,N,NA,BR Doctrove,RB Tiffin
